id;message;category
472;Ma commande urgente est arrivée avec trois semaines de retard.;réclamation
473;Ce drone a-t-il une fonction de retour automatique ?;question produit
474;Y a-t-il un chat en direct pour l'assistance ?;autre
475;Mon ordinateur se met en veille de façon imprévisible.;problème technique
476;L'emballage était ouvert et il manquait des pièces importantes.;réclamation
477;Quelle est la température de fonctionnement recommandée ?;question produit
478;Comment récupérer un mot de passe oublié ?;autre
479;La batterie de ma manette ne tient plus que dix minutes.;problème technique
480;Deux articles défectueux sur trois commandes, quelle honte !;réclamation
481;Ce casque dispose-t-il d'une réduction de bruit active ?;question produit
482;Est-ce que vous livrez dans les DOM-TOM ?;autre
483;Mon téléphone ne se connecte plus au WiFi de la maison.;problème technique
484;Vos conditions de retour sont abusives et contraires à la loi.;réclamation
485;Y a-t-il une application mobile pour contrôler cet appareil ?;question produit
486;Comment obtenir un duplicata de facture ?;autre
487;L'objectif de mon appareil photo est bloqué en position sortie.;problème technique
488;Le livreur a refusé de monter au troisième étage sans ascenseur.;réclamation
489;Cette tablette peut-elle remplacer un ordinateur portable ?;question produit
490;Où puis-je consulter l'historique de mes achats ?;autre
491;Mon disque dur fait des cliquetis inquiétants.;problème technique
492;Aucun dédommagement proposé malgré tous mes désagréments.;réclamation
493;Quelle est la définition native de ce projecteur ?;question produit
494;Comment modifier les informations de facturation ?;autre
495;La caméra de surveillance ne s'active plus la nuit.;problème technique
496;Ma garantie a été refusée sous un prétexte fallacieux.;réclamation
497;Ce modèle inclut-il un étui de protection ?;question produit
498;Puis-je payer en plusieurs fois sans frais ?;autre
499;Mon routeur redémarre automatiquement plusieurs fois par jour.;problème technique
500;Le produit reçu était sale et manifestement déjà utilisé.;réclamation
501;Quelle est la vitesse d'écriture de cette clé USB ?;question produit
502;Comment activer les notifications push sur mobile ?;autre
503;L'écran tactile de ma voiture ne répond plus aux commandes.;problème technique
504;Six mois pour obtenir une réparation sous garantie, c'est honteux.;réclamation
505;Ce chargeur est-il universel ou spécifique à la marque ?;question produit
506;Y a-t-il une version d'essai gratuite disponible ?;autre
507;Mon imprimante 3D s'arrête en milieu d'impression.;problème technique
508;Votre service commercial m'a vendu un produit incompatible.;réclamation
509;Cette enceinte peut-elle être utilisée en extérieur ?;question produit
510;Comment changer l'adresse email de mon compte ?;autre
511;Le trackpad de mon ordinateur portable ne clique plus.;problème technique
512;Le technicien n'est jamais venu au rendez-vous prévu.;réclamation
513;Quelle est la consommation en veille de cet appareil ?;question produit
514;Existe-t-il une formation pour utiliser ce logiciel ?;autre
515;Mon téléphone surchauffe dès que j'ouvre une application.;problème technique
516;Trois heures d'attente au téléphone pour rien, c'est inadmissible.;réclamation
517;Ce produit nécessite-t-il une installation particulière ?;question produit
518;Comment obtenir une attestation d'achat ?;autre
519;Ma carte son ne produit plus aucun son.;problème technique
520;L'article était soit-disant neuf mais portait des traces d'usage.;réclamation
521;Y a-t-il une garantie constructeur internationale ?;question produit
522;Peut-on retourner un article personnalisé ?;autre
523;Mon GPS ne trouve plus de satellites depuis la mise à jour.;problème technique
524;Votre politique de retour est plus restrictive que la loi.;réclamation
525;Cette montre est-elle résistante à l'eau salée ?;question produit
526;Comment recevoir des alertes de stock pour cet article ?;autre
527;L'écran de mon smartphone a une tache sombre permanente.;problème technique
528;Le service client refuse de reconnaître ses erreurs évidentes.;réclamation
529;Quelle est la capacité maximale de cette carte mémoire ?;question produit
530;Y a-t-il des frais cachés sur cette offre ?;autre
531;Mon ordinateur fait des bruits de disque dur inquiétants.;problème technique
532;Quinze jours sans nouvelles malgré mes relances quotidiennes.;réclamation
533;Ce casque est-il compatible avec toutes les consoles ?;question produit
534;Comment désactiver le renouvellement automatique ?;autre
535;La webcam de mon ordinateur affiche une image inversée.;problème technique
536;Ma facture comporte des erreurs de calcul manifestes.;réclamation
537;Quelle est la distance de détection de ce capteur ?;question produit
538;Puis-je modifier ma commande après validation ?;autre
539;Mon chargeur sans fil ne charge plus depuis hier.;problème technique
540;Le produit de remplacement a exactement le même défaut.;réclamation
541;Cette imprimante supporte-t-elle l'impression recto-verso ?;question produit
542;Comment obtenir un guide d'utilisation en français ?;autre
543;L'écran de ma liseuse reste figé sur la même page.;problème technique
544;Aucune excuse ni compensation malgré tous vos manquements.;réclamation
545;Y a-t-il une limite d'âge pour utiliser ce produit ?;question produit
546;Où trouver les mises à jour de firmware ?;autre
547;Mon micro-casque produit un écho insupportable.;problème technique
548;La livraison express payée n'a pas été respectée.;réclamation
549;Ce modèle dispose-t-il d'un port USB-C ?;question produit
550;Comment obtenir un devis pour une commande en gros ?;autre
551;Ma tablette graphique ne détecte plus le stylet.;problème technique
552;Vos délais de réparation dépassent largement ceux annoncés.;réclamation
553;Quelle est la précision GPS de cette montre connectée ?;question produit
554;Est-il possible de grouper plusieurs commandes ?;autre
555;Mon lecteur Blu-ray ne lit que les DVD normaux.;problème technique
556;Le support technique incompétent a aggravé la panne.;réclamation
557;Cette caméra peut-elle enregistrer en continu ?;question produit
558;Comment annuler un abonnement récurrent ?;autre
559;L'écran de mon réveil digital ne s'allume plus.;problème technique
560;Ma réclamation a été fermée sans résolution du problème.;réclamation
561;Quelle est la durée de la garantie étendue ?;question produit
562;Y a-t-il un service de reprise de l'ancien matériel ?;autre
563;Mon casque gaming ne détecte plus le microphone.;problème technique
564;Quatre appareils en panne sur cinq achetés, c'est statistique !;réclamation
565;Ce smartphone supporte-t-il la 5G ?;question produit
566;Comment obtenir une remise pour fidélité ?;autre
567;L'alimentation de mon écran externe clignote constamment.;problème technique
568;Le service après-vente me renvoie d'un interlocuteur à l'autre.;réclamation
569;Y a-t-il des options de connectivité sans fil ?;question produit
570;Peut-on programmer une livraison le week-end ?;autre
571;Mon scanner ne reconnaît plus les documents en couleur.;problème technique
572;Aucune solution proposée depuis le début de mes démarches.;réclamation
573;Cette enceinte dispose-t-elle d'un égaliseur intégré ?;question produit
574;Comment obtenir le statut VIP client ?;autre
575;La souris optique ne fonctionne sur aucune surface.;problème technique
576;Le remboursement promis n'apparaît toujours pas sur mon compte.;réclamation
577;Quelle est la taille maximale des fichiers supportés ?;question produit
578;Y a-t-il une hotline technique 24h/24 ?;autre
579;Mon téléphone ne reconnaît plus aucune carte SIM.;problème technique
580;Vos prétendus experts ne connaissent visiblement pas leurs produits.;réclamation
581;Ce logiciel peut-il traiter les fichiers RAW ?;question produit
582;Comment obtenir un certificat de conformité ?;autre
583;L'écran de ma montre GPS s'efface sous le soleil.;problème technique
584;Ma commande a été livrée à la mauvaise adresse.;réclamation
585;Y a-t-il une fonction de sauvegarde automatique ?;question produit
586;Puis-je obtenir une facture avec TVA déductible ?;autre
587;Mon ordinateur portable ne reconnaît plus la batterie.;problème technique
588;Le produit commandé sur votre site n'existe manifestement plus.;réclamation
589;Cette caméra dispose-t-elle d'un zoom optique ?;question produit
590;Comment contacter le service commercial international ?;autre
591;Ma carte réseau WiFi se déconnecte sans arrêt.;problème technique
592;Deux mois d'attente pour un simple accusé de réception.;réclamation
593;Quelle est la compatibilité avec les anciens formats ?;question produit
594;Y a-t-il des conditions particulières pour les professionnels ?;autre
595;L'écran de mon GPS automobile reste noir au démarrage.;problème technique
596;Le produit reçu présente des défauts de fabrication évidents.;réclamation
597;Ce modèle supporte-t-il plusieurs utilisateurs ?;question produit
598;Comment obtenir un bon de commande pour ma comptabilité ?;autre
599;Mon disque dur externe fait des bruits de grattement.;problème technique
600;Aucune réponse constructive malgré mes messages détaillés.;réclamation
601;Y a-t-il une application de contrôle parental ?;question produit
602;Peut-on payer par virement bancaire ?;autre
603;La batterie de mon drone ne se charge plus complètement.;problème technique
604;Le service client m'a donné des informations complètement fausses.;réclamation
605;Quelle est la vitesse de transfert de ce câble ?;question produit
606;Comment obtenir un échantillon gratuit ?;autre
607;Mon imprimante ne reconnaît que les cartouches de marque.;problème technique
608;Ma garantie commerciale a été refusée sous prétexte d'usure normale.;réclamation
609;Cette tablette peut-elle lire les formats vidéo 4K ?;question produit
610;Y a-t-il un programme de parrainage ?;autre
611;L'écran tactile de ma voiture ne répond qu'aux coins.;problème technique
612;Vos conditions de garantie sont plus restrictives que prévu.;réclamation
613;Ce produit nécessite-t-il un logiciel particulier ?;question produit
614;Comment obtenir une prolongation de garantie gratuite ?;autre
615;Mon routeur perd la configuration après chaque redémarrage.;problème technique
616;La hotline me fait patienter une heure avant de raccrocher.;réclamation
617;Y a-t-il une limite de téléchargements mensuels ?;question produit
618;Puis-je obtenir une livraison en point relais ?;autre
619;La caméra de mon téléphone ne fait plus la mise au point.;problème technique
620;Trois réparations consécutives pour le même problème non résolu.;réclamation
621;Cette enceinte peut-elle se connecter en stéréo avec une autre ?;question produit
622;Comment modifier mes préférences de communication ?;autre
623;Mon clavier mécanique a plusieurs touches qui collent.;problème technique
624;Le service de réparation agréé refuse de prendre en charge.;réclamation
625;Quelle est la définition maximale de cette webcam ?;question produit
626;Y a-t-il des réductions pour les achats en volume ?;autre
627;L'écran de mon ordinateur portable scintille en permanence.;problème technique
628;Aucun geste commercial malgré tous les désagréments subis.;réclamation
629;Ce casque dispose-t-il d'un micro amovible ?;question produit
630;Comment obtenir un accusé de livraison signé ?;autre
631;Mon smartphone ne vibre plus pour les notifications.;problème technique
632;Le produit de remplacement présente exactement les mêmes défauts.;réclamation
633;Y a-t-il une fonction de minuterie sur cet appareil ?;question produit
634;Peut-on retourner un article après la période d'essai ?;autre
635;Ma carte graphique affiche des couleurs complètement fausses.;problème technique
636;Ma réclamation a été classée automatiquement sans traitement.;réclamation
637;Cette montre peut-elle mesurer la fréquence cardiaque ?;question produit
638;Comment obtenir un devis personnalisé ?;autre
639;L'objectif de ma caméra reste bloqué à mi-course.;problème technique
640;Vos techniciens ne respectent jamais les créneaux de rendez-vous.;réclamation
641;Quelle est la capacité de stockage en nuage incluse ?;question produit
642;Y a-t-il une garantie de reprise en cas d'insatisfaction ?;autre
643;Mon ordinateur de bureau ne s'allume plus du tout.;problème technique
644;Le service client nie l'évidence malgré mes photos explicites.;réclamation
645;Ce produit est-il certifié pour usage médical ?;question produit
646;Comment obtenir une extension de délai de paiement ?;autre
647;La batterie de ma manette de jeu gonfle dangereusement.;problème technique
648;Aucune communication proactive sur l'avancement de mon dossier.;réclamation
649;Y a-t-il une fonction d'enregistrement automatique ?;question produit
650;Puis-je obtenir une démonstration du produit ?;autre
651;Mon écran externe ne détecte plus aucun signal d'entrée.;problème technique
652;Le technicien a laissé mon appareil dans un état pire qu'avant.;réclamation
653;Cette imprimante peut-elle imprimer sur du papier épais ?;question produit
654;Comment obtenir les spécifications techniques détaillées ?;autre
655;L'écran de ma console de jeu a des bandes verticales colorées.;problème technique
656;Ma commande express a été traitée comme une livraison standard.;réclamation
657;Ce logiciel supporte-t-il les plugins tiers ?;question produit
658;Y a-t-il un service de location plutôt que d'achat ?;autre
659;Mon téléphone ne reconnaît plus le chargeur d'origine.;problème technique
660;Cinq interlocuteurs différents pour le même problème simple.;réclamation
661;Quelle est la consommation maximale de cet amplificateur ?;question produit
662;Comment obtenir un certificat d'origine du produit ?;autre
663;La webcam de mon ordinateur affiche tout en négatif.;problème technique
664;Le service après-vente ne tient aucun compte de mes remarques.;réclamation
665;Y a-t-il une version sans publicité de cette application ?;question produit
666;Peut-on obtenir une facture rectificative ?;autre
667;Mon disque SSD n'est plus détecté après formatage.;problème technique
668;Ma garantie expire demain et aucune solution n'a été trouvée.;réclamation
669;Cette caméra dispose-t-elle d'un stabilisateur d'image ?;question produit
670;Comment obtenir un manuel d'utilisation papier ?;autre
671;L'alimentation de mon routeur fait des étincelles.;problème technique
672;Le produit livré était manifestement un modèle de démonstration.;réclamation
673;Quelle est la portée maximale de ce système Bluetooth ?;question produit
674;Y a-t-il un numéro gratuit pour le service client ?;autre
675;Mon smartphone redémarre en boucle depuis la dernière mise à jour.;problème technique
676;Aucune excuse présentée malgré l'évidence de vos erreurs.;réclamation
677;Ce produit peut-il fonctionner sur batterie ?;question produit
678;Comment obtenir un duplicata de garantie ?;autre
679;L'écran de ma tablette ne s'allume que partiellement.;problème technique
680;Ma réclamation urgente traîne depuis des semaines sans solution.;réclamation
681;Y a-t-il une fonction de contrôle à distance ?;question produit
682;Puis-je obtenir un échéancier de paiement ?;autre
683;Mon casque audio a un côté complètement muet.;problème technique
684;Le service commercial m'a fait des promesses non tenues.;réclamation
685;Cette imprimante supporte-t-elle l'impression sans bordure ?;question produit
686;Comment obtenir un code de réduction pour mon anniversaire ?;autre
687;La batterie de mon ordinateur portable ne tient plus que cinq minutes.;problème technique
688;Aucun dédommagement proposé pour mes frais engagés.;réclamation
689;Quelle est la résistance à la poussière de cet appareil ?;question produit
690;Y a-t-il une assistance technique en ligne ?;autre
691;Mon scanner ne numérise que la moitié des documents.;problème technique
692;Le support technique me donne des solutions déjà tentées sans succès.;réclamation
693;Ce modèle inclut-il un câble de connexion HDMI ?;question produit
694;Comment obtenir une attestation de conformité européenne ?;autre
695;L'écran de mon GPS se fige sur la carte de démarrage.;problème technique
696;Ma commande annulée a quand même été facturée.;réclamation
697;Y a-t-il une application mobile dédiée à ce produit ?;question produit
698;Peut-on payer en chèques-cadeaux ?;autre
699;Mon ordinateur fait des bips d'erreur au démarrage.;problème technique
700;Deux semaines pour obtenir un simple numéro de retour.;réclamation
701;Cette enceinte peut-elle se connecter simultanément à plusieurs appareils ?;question produit
702;Comment obtenir une formation à l'utilisation du produit ?;autre
703;La caméra de surveillance ne s'active que la moitié du temps.;problème technique
704;Le service client refuse d'appliquer la garantie légale.;réclamation
705;Quelle est la précision de mesure de cet instrument ?;question produit
706;Y a-t-il un service de dépannage à domicile ?;autre
707;Mon téléphone ne se connecte plus qu'en 2G.;problème technique
708;Aucune réponse satisfaisante malgré l'évidence du problème.;réclamation
709;Ce produit nécessite-t-il une licence d'utilisation ?;question produit
710;Comment obtenir un bon de livraison détaillé ?;autre
711;L'écran tactile de ma voiture ne reconnaît que certaines zones.;problème technique
712;Ma réclamation a été transférée six fois sans résolution.;réclamation
713;Y a-t-il une garantie contre le vol pour ce produit ?;question produit
714;Puis-je obtenir une remise fidélité rétroactive ?;autre
715;Mon disque dur externe s'éjecte tout seul de façon répétée.;problème technique
716;Le produit reçu ne correspond pas du tout au descriptif.;réclamation
717;Cette montre peut-elle afficher plusieurs fuseaux horaires ?;question produit
718;Comment obtenir les coordonnées du service réclamation ?;autre
719;La batterie de mon drone se décharge en deux minutes.;problème technique
720;Trois mois sans nouvelles malgré mes relances hebdomadaires.;réclamation
721;Quelle est la température de couleur de cet éclairage LED ?;question produit
722;Y a-t-il une période d'essai satisfait ou remboursé ?;autre
723;Mon imprimante laisse des traces d'encre sur tous les documents.;problème technique
724;Le service après-vente me fait tourner en rond depuis des mois.;réclamation
725;Ce casque dispose-t-il d'une fonction d'annulation de bruit ?;question produit
726;Comment obtenir une facture au nom de mon entreprise ?;autre
727;L'écran de mon téléviseur a perdu la moitié de sa luminosité.;problème technique
728;Ma garantie a été refusée pour un motif totalement fantaisiste.;réclamation
729;J'organise un événement caritatif et j'aimerais savoir si vous sponsorisez ce type d'initiative ?;autre
730;Le produit que j'ai commandé est complètement différent de la photo sur votre site. Je veux être remboursé.;réclamation
731;"Impossible de synchroniser mes données avec le cloud. Le message d'erreur indique ""connexion refusée"".";problème technique
732;Ce modèle existe-t-il en version rechargeable ou fonctionne-t-il uniquement sur piles ?;question produit
733;Puis-je visiter vos locaux pour une présentation de vos services à mon équipe ?;autre
734;"Ma livraison n'est jamais arrivée malgré le suivi qui indique ""livré"". Je demande un remboursement complet.";réclamation
735;L'écran reste noir au démarrage de l'application. J'ai vidé le cache mais ça ne change rien.;problème technique
736;Quelle est la température maximale supportée par ce matériau ?;question produit
737;Comment puis-je devenir revendeur agréé de vos produits dans ma région ?;autre
738;Le service client m'a raccroché au nez trois fois aujourd'hui. C'est inadmissible !;réclamation
739;La fonction de recherche ne trouve aucun résultat même avec des termes simples.;problème technique
740;Y a-t-il une différence de qualité entre le modèle standard et le modèle premium ?;question produit
741;Organisez-vous des webinaires ou des formations sur l'utilisation de vos produits ?;autre
742;J'ai payé la livraison express mais le colis est arrivé avec 5 jours de retard. Remboursez-moi les frais de port.;réclamation
743;Le téléchargement s'interrompt toujours à 67% et recommence depuis le début.;problème technique
744;Ce produit est-il compatible avec les appareils de la marque concurrent X ?;question produit
745;Acceptez-vous les stagiaires dans votre entreprise ? Ma fille cherche un stage.;autre
746;Le produit s'est cassé dès le premier usage. Votre qualité laisse vraiment à désirer !;réclamation
747;"Mon navigateur affiche ""Cette page n'est pas sécurisée"" quand j'accède à votre site.";problème technique
748;Proposez-vous une version mini ou compacte de ce produit ?;question produit
749;Pouvez-vous me mettre en contact avec votre service presse pour une interview ?;autre
750;L'emballage était complètement déchiré et le produit abîmé. Je veux un échange immédiat.;réclamation
751;Les notifications push ne fonctionnent plus depuis iOS 17. Y a-t-il un correctif ?;problème technique
752;Quelle est la consommation électrique exacte de cet appareil ?;question produit
753;Participez-vous au salon professionnel qui se tient à Lyon en mars ?;autre
754;Trois semaines que j'attends une réponse à ma réclamation. Votre service client est inexistant !;réclamation
755;La sauvegarde automatique ne se déclenche pas. Mes données risquent d'être perdues.;problème technique
756;Ce produit convient-il aux enfants de moins de 3 ans ?;question produit
757;Comment puis-je obtenir une facture avec TVA déductible pour mon entreprise ?;autre
758;Le vendeur en magasin m'a vendu un produit défaillant en prétendant qu'il était neuf. Scandaleux !;réclamation
759;"L'importation de fichiers CSV échoue systématiquement avec un message ""format non supporté"".";problème technique
760;Existe-t-il une version sans parfum de ce produit pour les peaux sensibles ?;question produit
761;Puis-je utiliser votre logo dans ma présentation universitaire sur l'innovation ?;autre
762;Le livreur a laissé le colis sous la pluie et tout est trempé. Je demande réparation.;réclamation
763;"Quand je clique sur ""Enregistrer"", rien ne se passe et mes modifications sont perdues.";problème technique
764;Quelle est la portée maximale de cet émetteur sans fil ?;question produit
765;Organisez-vous des journées portes ouvertes pour découvrir vos bureaux ?;autre
766;Deux produits différents dans ma commande mais facturés au prix fort. Rectifiez cette erreur !;réclamation
767;L'application consomme énormément de batterie depuis la dernière mise à jour.;problème technique
768;Ce modèle est-il disponible en couleur rouge ou uniquement en noir ?;question produit
769;Comment puis-je proposer mes services de consultant à votre entreprise ?;autre
770;Le SAV m'a promis un rappel sous 24h il y a une semaine. Toujours rien !;réclamation
771;Impossible de me connecter avec mon empreinte digitale depuis la mise à jour.;problème technique
772;Combien de temps faut-il pour voir les premiers effets de ce produit ?;question produit
773;Recherchez-vous des partenaires pour le développement international ?;autre
774;Commande annulée sans mon accord et remboursement qui n'arrive pas. C'est du vol !;réclamation
775;Le menu déroulant des pays ne fonctionne pas lors de l'inscription.;problème technique
776;Y a-t-il des contre-indications avec des médicaments anticoagulants ?;question produit
777;Peut-on organiser une visite de groupe de notre association dans vos ateliers ?;autre
778;Le produit ne correspond pas du tout à la description. Je me sens arnaqué.;réclamation
779;Les images ne se chargent plus dans l'application depuis ce matin.;problème technique
780;Quelle est la durée de vie estimée de ce produit avec usage quotidien ?;question produit
781;Acceptez-vous les paiements en cryptomonnaies pour vos services ?;autre
782;Livraison soi-disant effectuée mais boîte aux lettres vide. Votre transporteur ment !;réclamation
783;Le formulaire de contact renvoie une erreur 500 quand j'essaie de l'envoyer.;problème technique
784;Ce produit peut-il être utilisé en extérieur par temps de gel ?;question produit
785;Proposez-vous des programmes d'affiliation pour les créateurs de contenu ?;autre
786;Produit reçu avec un défaut de fabrication évident. Qualité décevante pour ce prix.;réclamation
787;La géolocalisation ne fonctionne pas correctement dans l'application.;problème technique
788;Quelle est la capacité de stockage maximale de ce modèle ?;question produit
789;Comment puis-je suggérer une amélioration pour vos produits ?;autre
790;Service après-vente catastrophique, personne ne prend mes appels au sérieux.;réclamation
791;L'export des données au format PDF génère un fichier corrompu.;problème technique
792;Ce produit est-il fabriqué avec des matériaux recyclés ?;question produit
793;Organisez-vous des concours ou des jeux-concours sur les réseaux sociaux ?;autre
794;Trois mois de garantie écoulés et le produit tombe en panne. Coïncidence ? J'en doute !;réclamation
795;Impossible de réinitialiser mon mot de passe, le lien dans l'email ne fonctionne pas.;problème technique
796;Proposez-vous des options de personnalisation pour ce produit ?;question produit
797;Puis-je obtenir une attestation de formation après avoir suivi vos tutoriels ?;autre
798;Commande livrée à la mauvaise adresse malgré mes instructions claires. Incompétence totale !;réclamation
799;L'application plante quand j'essaie d'importer des photos depuis ma galerie.;problème technique
800;Quelle est la différence entre la version Pro et la version Business ?;question produit
801;Acceptez-vous les demandes de mécénat pour des projets culturels ?;autre
802;Produit défectueux remplacé par un autre produit défectueux. Votre contrôle qualité est inexistant !;réclamation
803;Les raccourcis clavier ne fonctionnent plus dans la nouvelle version.;problème technique
804;Ce modèle dispose-t-il d'une fonction minuteur ou programmation ?;question produit
805;Comment puis-je rejoindre votre programme de bêta-testeurs ?;autre
806;Facturation erronée avec des frais cachés non mentionnés lors de la commande.;réclamation
807;La synchronisation entre mes appareils ne fonctionne que dans un sens.;problème technique
808;Y a-t-il des frais supplémentaires pour l'installation de ce produit ?;question produit
809;Proposez-vous des solutions sur mesure pour les grandes entreprises ?;autre
810;Délai de livraison non respecté pour la troisième fois consécutive. C'est fini, je change de fournisseur !;réclamation
811;Le dark mode ne s'applique pas correctement à tous les écrans de l'interface.;problème technique
812;Ce produit nécessite-t-il un entretien particulier ou des consommables ?;question produit
813;Où puis-je trouver vos conditions générales de vente mises à jour ?;autre
814;Remboursement partiel reçu sans explication. Où est le reste de mon argent ?;réclamation
815;La barre de progression reste bloquée à 0% lors des téléchargements.;problème technique
816;Quelle est la politique de retour pour les produits personnalisés ?;question produit
817;Recherchez-vous des ambassadeurs de marque dans le secteur sportif ?;autre
818;Colis endommagé lors du transport et aucun remboursement proposé. Service client inexistant.;réclamation
819;L'authentification à deux facteurs ne reconnaît pas mes codes de sauvegarde.;problème technique
820;Ce produit est-il compatible avec les systèmes domotiques existants ?;question produit
821;Puis-je obtenir une démonstration personnalisée de vos solutions logicielles ?;autre
822;Produit arrivé en retard pour l'anniversaire de ma fille. Vous avez gâché sa fête !;réclamation
823;Les fichiers uploadés dépassant 10MB ne sont pas acceptés par le système.;problème technique
824;Existe-t-il un mode d'emploi en braille pour les personnes malvoyantes ?;question produit
825;Comment procéder pour devenir partenaire distributeur dans ma région ?;autre
826;Qualité scandaleuse pour ce prix ! Je préviens tous mes contacts de ne pas acheter chez vous.;réclamation
827;La fonction recherche vocale ne comprend pas les commandes en français.;problème technique
828;Ce produit peut-il être utilisé sans connexion internet ?;question produit
829;Proposez-vous des tarifs préférentiels pour les associations caritatives ?;autre
830;Commande expédiée avec 10 jours de retard sans aucune excuse de votre part.;réclamation
831;L'historique des commandes ne s'affiche plus dans mon compte client.;problème technique
832;Quelle est la composition exacte de ce produit cosmétique ?;question produit
833;Comment puis-je soumettre une candidature spontanée pour votre équipe marketing ?;autre
834;Produit reçu fissuré et emballage intact. Problème de stockage dans vos entrepôts !;réclamation
835;La fonction copier-coller ne fonctionne pas dans les champs de texte.;problème technique
836;Ce modèle est-il disponible avec une garantie étendue ?;question produit
837;Organisez-vous des événements de networking pour vos clients professionnels ?;autre
838;Quelle est la garantie offerte sur ce produit et que couvre-t-elle exactement ?;question produit
839;Mon compte a été suspendu sans explication. Je veux comprendre pourquoi !;réclamation
840;L'application se ferme automatiquement quand j'ouvre le module de paramètres.;problème technique
841;Avez-vous des tarifs préférentiels pour les associations à but non lucratif ?;autre
842;Ce produit contient-il des allergènes comme le gluten ou les arachides ?;question produit
843;Facturation incorrecte depuis trois mois, vous me prélevez trop d'argent !;réclamation
844;La synchronisation entre mes appareils ne fonctionne plus depuis hier.;problème technique
845;Puis-je organiser une démonstration de vos produits dans mon entreprise ?;autre
846;Quelle est la taille exacte de ce produit en centimètres ?;question produit
847;Colis endommagé par le transporteur et vous refusez de prendre la responsabilité.;réclamation
848;Impossible de me déconnecter de l'application, le bouton ne répond pas.;problème technique
849;Recherchez-vous des ambassadeurs de marque pour promouvoir vos produits ?;autre
850;Ce modèle existe-t-il avec une connectivité Bluetooth intégrée ?;question produit
851;Commande passée il y a un mois, toujours aucune nouvelle de l'expédition.;réclamation
852;Les notifications par email arrivent avec plusieurs heures de retard.;problème technique
853;Proposez-vous des formations certifiantes sur l'utilisation de vos solutions ?;autre
854;Quelle est la puissance de sortie maximale de cet amplificateur ?;question produit
855;Service client incompétent, on me renvoie de service en service sans solution.;réclamation
856;L'outil de recherche avancée ne filtre pas correctement les résultats.;problème technique
857;Participez-vous à des salons étudiants pour recruter de jeunes talents ?;autre
858;Ce produit est-il compatible avec les systèmes d'exploitation Linux ?;question produit
859;Remboursement promis sous 5 jours ouvrés, cela fait maintenant trois semaines !;réclamation
860;La fonction de partage sur les réseaux sociaux génère une erreur 404.;problème technique
861;Comment puis-je devenir formateur agréé pour vos produits ?;autre
862;Y a-t-il une différence de performance entre les versions 32 et 64 bits ?;question produit
863;Produit reçu avec des rayures partout, l'emballage de protection était insuffisant.;réclamation
864;Impossible d'ouvrir les pièces jointes dans les emails de l'application.;problème technique
865;Organisez-vous des hackathons ou des défis de développement ?;autre
866;Quelle est la consommation d'eau de cette machine par cycle de lavage ?;question produit
867;Votre hotline surtaxée me fait perdre une fortune pour aucune solution concrète.;réclamation
868;Le mode sombre de l'interface ne s'applique pas à tous les écrans.;problème technique
869;Acceptez-vous les candidatures spontanées pour des postes en télétravail ?;autre
870;Ce produit nécessite-t-il un entretien particulier ou régulier ?;question produit
871;Livraison express payée mais colis arrivé standard. Remboursez la différence !;réclamation
872;La barre de progression reste bloquée à 0% lors des téléchargements.;problème technique
873;Puis-je utiliser vos contenus éducatifs dans mes cours universitaires ?;autre
874;Quelle est la résolution maximale supportée par cet écran ?;question produit
875;Trois techniciens différents, trois diagnostics différents. Vous vous moquez de moi !;réclamation
876;Les widgets sur le tableau de bord ne se mettent plus à jour automatiquement.;problème technique
877;Proposez-vous des programmes d'échange avec des universités étrangères ?;autre
878;Ce produit peut-il fonctionner avec une alimentation solaire ?;question produit
879;Garantie refusée pour un vice caché évident. Votre mauvaise foi est flagrante.;réclamation
880;L'authentification à deux facteurs ne fonctionne plus avec Google Authenticator.;problème technique
881;Comment puis-je proposer une collaboration pour un projet de recherche ?;autre
882;Existe-t-il une version silencieuse de ce ventilateur ?;question produit
883;Commande expédiée vers la mauvaise adresse malgré mes corrections multiples.;réclamation
884;Les graphiques ne s'affichent plus correctement depuis la mise à jour du navigateur.;problème technique
885;Organisez-vous des concours d'innovation pour les startups ?;autre
886;Quelle est la portée effective de ce signal WiFi en intérieur ?;question produit
887;SAV qui promet de rappeler mais ne rappelle jamais. Service client fantôme !;réclamation
888;Impossible de modifier les paramètres de confidentialité dans mon profil.;problème technique
889;Puis-je obtenir des échantillons gratuits pour tester vos produits ?;autre
890;Ce matériau résiste-t-il aux produits chimiques agressifs ?;question produit
891;Facturation automatique continuée malgré la résiliation de mon abonnement.;réclamation
892;La reconnaissance vocale ne comprend plus les commandes en français.;problème technique
893;Acceptez-vous les partenariats avec des influenceurs tech ?;autre
894;Quelle est la durée de charge complète de cette batterie ?;question produit
895;Produit commandé en rouge, reçu en bleu. Votre logistique est défaillante.;réclamation
896;L'application consomme 2Go de RAM au démarrage, c'est excessif.;problème technique
897;Proposez-vous des visites d'usine pour les étudiants en ingénierie ?;autre
898;Ce produit est-il certifié pour usage médical professionnel ?;question produit
899;Remboursement effectué sur le mauvais compte bancaire malgré mes indications.;réclamation
900;Les raccourcis personnalisés se réinitialisent à chaque redémarrage.;problème technique
901;Comment puis-je soumettre une idée d'amélioration à votre équipe R&D ?;autre
902;Quelle est la température de fonctionnement optimale pour cet appareil ?;question produit
